Tracy No.,Frank No.,Year-Frank,Full Gothic Type,Author-Frank,Gender-Frank,Title-Frank
,1,1805,Pure or high Gothic (terror mode),"Acton, Eugenia de",f,"THE NUNS OF THE DESERT: OR, THE WOODLAND WITCHES"
,2,1804,Gothic chapbook,unsigned,unknown,"THE AFFECTING HISTORY OF LOUISA, THE WANDERING MANIAC: OR, ""THE LADY OF THE HAY-STACK"""
,3,1803,Gothic chapbook (imitation of John Moore's ZELUCO),unsigned,unknown,"ALBANI: OR, THE MURDERER OF HIS CHILD, CONTAINING THE DIFFERENT VIEWS OF HIS CHARACTER, AS A LIBERTINE IN PALERMO, AN OFFICER IN THE SPANISH SERVICE, A PLANTER IN THE ISLAND OF CUBA, ETC"
,4,1817,Pure or high Gothic (Radcliffean imitation),unsigned,unknown,"ALEXENA: OR, THE CASTLE OF SANTA MARCO"
,5,1803,Chapbook or pulp gothic (monastic shocker),unsigned,unknown,"ALMAGRO AND CLAUDE: OR, MONASTIC MURDER EXEMPLIFIED IN THE DREADFUL DOOM OF AN UNFORTUNATE NUN"
,6,1789,Pure or high Gothic (some burlesque elements),"Andrews, Charles",m,THE SPECTRE
,7,1798,Pure or high Gothic (horror mode),unsigned,unknown,THE ANIMATED SKELETON
,8,1788,Pure or high Gothic (terror mode with elements of pseudo-history),unsigned,unknown,THE APPARITION
,9,1806,Gothified history,"Armstrong, Leslie",m,"THE ANGLO-SAXONS: OR, THE COURT OF ETHELWULPH. A ROMANCE"
,10,1795,Gothified history,unsigned,unknown,ATVILLE CASTLE: AN HISTORICAL ROMANCE
,11,1793,"Pure or high Gothic (Radcliffean imitation, terror mode)",unsigned,unknown,ASHTON PRIORY
,12,1818,Gothic Parody (caricature of various heroines),"Austen, Jane",f,NORTHANGER ABBEY
,13,1796,Pure or high Gothic (terror mode),unsigned,unknown,AUSTENBURN CASTLE
,14,1810,Chapbook Gothic (short Schauerroman),unsigned,unknown,"THE AVENGER: OR, SICILIAN VESPERS, A ROMANCE OF THE THIRTEENTH CENTURY, NOT INAPPLICABLE TO THE NINETEENTH"
,15,1792,Marginal Gothic (polemical fiction),"Bage, Robert",m,MAN AS HE IS
,16,1796,"Marginal Gothic (didactic, philosophical fiction)","Bage, Robert",m,"HERMSPRONG: OR, MAN AS HE IS NOT"
1,17,1819,Gothic Rauberroman (elements of the monastic shocker),"Ball, Edward",m,THE BLACK ROBBER. A ROMANCE
,18,1790,Gothified history (terror mode),"Ballin, Rossetta",f,THE STATUE ROOM: AN HISTORICAL ROMANCE
,19,1818,Gothic Rauberroman (elements of Radcliffean scenery),unsigned,unknown,"THE BANDIT CHIEF: OR, THE LORDS OF URVINO"
,20,1812,Serialized Gothic (sentimental and terror modes),unsigned,unknown,"THE BANDITTI OF THE FOREST: OR, THE MYSTERIOUS DAGGER. LADY'S MONTHLY MUSEUM, OR POLITE REPOSITORY OF AMUSEMENT AND INSTRUCTION"
2,21,1792,Pure or high Gothic (horror-terror modes),"Barbauld, Anna Laetitia",f,"""SIR BERTRAND. A FRAGMENT"""
,22,1803,Pure or high Gothic (reworked from French sentimental fiction),"Barnby, Mrs.",f,"KERWALD CASTLE: OR, THE MEMOIRS OF THE MARQUIS DE SOLANGES"
,23,1806,Pure or high Gothic (terror mode),unsigned,unknown,BARON DE FALKENHEIM: A TALE
,24,1803,Gothic Chapbook,"Barrett, C.F.",unknown,"DOUGLAS CASTLE: OR, THE CELL OF MYSTERY, A SCOTTISH TALE"
,25,1803,Gothic Chapbook (shilling shocker qualities),"Barrett, C.F.",unknown,"THE ROUND TOWER: OR, THE MYSTERIOUS WITNESS, AN IRISH LEGENDARY TALE OF THE SIXTH CENTURY"
,26,1813,Gothic Parody,"Barrett, Eaton Stannard",m,"THE HEROINE: OR, THE ADVENTURES OF A FAIR ROMANCE READER"
,27,1803,Gothic Chapbook (monastic shocker variety),"Barrington, George",m,"ELIZA: OR, THE UNHAPPY NUN"
,28,1810,Domestic Gothic,"Beauclerc, Amelia",f,"EVA OF CAMBRIA: OR, THE FUGITIVE DAUGHTER"
,29,1812,Sentimental Gothic,"Beauclerc, Amelia",f,"THE CASTLE OF TARIFFA: OR, THE SELF-BANISHED MAN"
3,30,1786,Orientalized Gothic fantasy,"Beckford, William",m,"VATHEK: AN ARABIAN TALE FROM AN UNPUBLISHED MANUSCRIPT, WITH NOTES CRITICAL AND EXPLANATORY"
,31,1912,Orientalized Gothic fantasy,"Beckford, William",m,THE EPISODES OF VATHEK
,32,1794,Sentimental Gothic,"Bennett, Agnes Maria",f,"ELLEN, COUNTESS OF CASTLE HOWEL"
,33,1806,Pure or high Gothic (intermittent didactic elements),"Bennett, Agnes Maria",f,"VICISSITUDES ABROAD: OR, THE GHOST OF MY FATHER"
,34,1795,Pure or high Gothic (fusion of terror and horror),"Bird, John",m,THE CASTLE OF HARDAYNE
,35,1819,Pure or high Gothic (horror mode),unsigned,unknown,"THE BLACK CONVENT: OR, A TALE OF FEUDAL TIMES"
,36,1803,Gothic Chapbook (shilling shocker qualities),unsigned,unknown,"THE BLACK VALLEY: OR, THE CASTLE OF ROSENBERG"
4,37,n.d.,Gothic chapbook,unsigned,unknown,"THE BLOODY HAND, OR, THE FATAL CUP. A TALE OF HORROR!"
5,38,1826,Gothified History (terror mode),"Bolen, C. A.",unknown,"THE MYSTERIOUS MONK, OR, THE WIZARD'S TOWER"
6,39,1796,Pure or high Gothic (terror mode),"Bonhote, Elizabeth",f,BUNGAY CASTLE. A NOVEL
,40,1808,Pure or high Gothic (moralized mystery fiction),"Bounden, Joseph",m,"THE MURDERER: OR, THE FALL OF LECAS"
10,41,1808,Pure or high Gothic (terror mode),"Brewer, George",m,THE WITCH OF RAVENSWORTH. A ROMANCE
9,42,1799,Gothified History,"Brewer, James Norris",m,A WINTER'S TALE
,43,1803,Pure or high Gothic (terror mode),"Bromley, Elizabeth Nugent",f,THE CAVE OF COSENZA: A ROMANCE OF THE EIGHTEENTH CENTURY
11,44,1819,Sentimental Gothic,"Brown, Elizabeth Cullen",f,THE SISTERS OF ST. GOTHARD. A TALE
12,45,1802,Philosophical Gothic (domestic elements),"Brydges, Sir Samuel Egerton",m,LE FORESTER. A NOVEL
,46,1796,Sentimental Gothic (imitation of Charlotte Smith),"Burke, Ann",f,"THE SORROWS OF EDITH: OR, THE HERMITAGE OF THE CLIFFS"
,47,1805,Grotto Gothic (terror mode),"Burke, Ann",f,THE SECRET OF THE CAVERN
,48,1806,Pure or high Gothic (horror mode),"Carey, David",m,THE SECRETS OF THE CASTLE
16,49,1797,Pure or high Gothic (terror mode),"Carver, Mrs.",f,THE HORRORS OF OAKENDALE ABBEY
,50,1800,Pure or high Gothic (horror mode),unsigned,unknown,"THE CASTLE DE WARRENNE: A ROMANCE. LADY'S MONTHLY MUSEUM, OR POLITE REPOSITORY OF AMUSEMENT AND INSTRUCTION"
,51,1798,"Gothified history, imitation of Reeve's OLD ENGLISH BARON)",unsigned,unknown,"THE CASTLE OF BEESTON: OR, RANDOLPH, EARL OF CHESTER, AN HISTORICAL ROMANCE"
