Tracy No.,Frank No.
1,17
2,21
3,30
4,37
5,38
6,39
10,41
9,42
11,44
12,45
16,49
17,59
18,72
19,77
27,79
25,80
20,81
23,82
21,83
22,84
26,85
28,86
30,88
29,89
33,90
32,91
31,92
34,100
35,101
38,102
36,103
37,104
39,106
40,107
41,108
42,111
43,116
44,119
45,124
46,129
47,132
51,139
50,140
52,144
53,146
55,147
54,148
58,152
59,153
60,157
61,158
62,160
64,173
65,174
67,177
66,178
68,179
69,180
70,189
72,190
71,191
73,195
74,198
76,199
75,201
77,203
78,206
79,209
81,210
80,211
83,220
82,221
87,227
89,228
85,229
88,231
90,233
86,234
91,237
92,240
93,241
94,242
95,243
99,244
96,245
102,246
100,247
104,252
105,255
106,259
108,265
111,266
110,267
109,268
107,269
112,272
113,276
114,277
115,279
116,283
117,291
118,295
119,296
120,297
122,315
123,316
125,319
127,320
124,321
128,324
129,329
131,333
130,334
132,336
133,346
138,347
137,348
136,349
135,350
134,351
139,352
141,355
143,356
140,357
142,358
144,359
145,360
146,362
153,363
149,364
150,365
154,366
152,367
148,370
151,371
155,373
157,375
161,399
165,400
162,401
160,402
163,403
167,404
166,405
168,408
169,413
171,415
173,416
170,417
172,418
174,420
175,425
177,427
182,435
180,436
178,437
181,438
185,439
183,440
184,441
179,442
186,447
188,452
189,454
191,461
192,463
190,465
193,466
194,468
197,470
198,475
201,479
199,486
200,487
202,489
205,491
206,495
207,496
208,498
