,A Captain,A Gentleman,A Priest,All,Bernardo,Claudius,Cornelius,Danes,First Ambassador,First Clown,First Player,Fortinbras,Francisco,Gertrude,Ghost of Hamlet's Father,Guildenstern,Hamlet,Horatio,Laertes,Lord,Lucianus,Marcellus,Mess,Ophelia,Osric,Player King,Player Queen,Polonius,Prologue,Reynaldo,Rosencrantz,Sailor,Second Clown,Servant,Voltimand,avg
A Captain,0,3,2,2,2,2,2,3,2,2,2,1,3,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,3,1,3,2,3,2,2.1176470588235294
A Gentleman,3,0,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1.8529411764705883
A Priest,2,2,0,1,2,1,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,1.7941176470588236
All,2,2,1,0,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1.2647058823529411
Bernardo,2,2,2,1,0,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1.6764705882352942
Claudius,2,1,1,1,1,0,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1.1764705882352942
Cornelius,2,2,2,1,1,1,0,2,2,2,2,2,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1.7058823529411764
Danes,3,1,2,2,2,1,2,0,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1.8529411764705883
First Ambassador,2,2,2,1,2,1,2,2,0,2,2,1,2,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,1.7647058823529411
First Clown,2,2,1,1,2,1,2,2,2,0,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,1.7941176470588236
First Player,2,2,2,1,2,1,2,2,2,2,0,2,2,1,2,1,1,1,2,2,1,2,2,1,2,1,1,1,1,2,1,2,2,2,1,1.588235294117647
Fortinbras,1,2,2,1,2,1,2,2,1,2,2,0,2,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,3,1,2,2,2,2,1.7058823529411764
Francisco,3,2,2,2,1,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,2,1,3,2,2,2,2,2,2,3,2,2,2,2,2,2.0
Gertrude,2,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1.1470588235294117
Ghost of Hamlet's Father,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1.8529411764705883
Guildenstern,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,0,1,1,2,2,1,2,2,1,2,1,1,1,1,2,1,2,2,2,1,1.588235294117647
Hamlet,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1.2058823529411764
Horatio,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1.088235294117647
Laertes,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,0,1,2,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1.3823529411764706
Lord,2,2,2,1,2,1,2,2,1,2,2,1,2,1,2,2,1,1,1,0,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,1.7647058823529411
Lucianus,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,1,1,1,2,2,0,2,2,1,2,1,1,1,1,2,1,2,2,2,2,1.6176470588235294
Marcellus,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,2,2,0,2,2,2,2,2,1,2,2,2,2,2,2,1,1.6470588235294117
Mess,3,2,2,2,2,1,2,2,2,2,2,2,3,1,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,3,2,3,2,3,2,2.0588235294117645
Ophelia,2,1,2,1,2,1,2,1,2,2,1,2,2,1,2,1,1,1,1,2,1,2,2,0,2,1,1,1,1,1,1,2,2,2,2,1.5
Osric,2,2,2,1,2,1,2,2,1,2,2,1,2,1,2,2,1,1,1,1,2,2,2,2,0,2,2,2,2,3,2,2,2,2,2,1.7647058823529411
Player King,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,1,1,1,2,2,1,2,2,1,2,0,1,1,1,2,1,2,2,2,2,1.6176470588235294
Player Queen,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,1,1,1,2,2,1,2,2,1,2,1,0,1,1,2,1,2,2,2,2,1.6176470588235294
Polonius,2,2,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,0,1,1,1,2,2,2,1,1.411764705882353
Prologue,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,1,1,1,2,2,1,2,2,1,2,1,1,1,0,2,1,2,2,2,2,1.6176470588235294
Reynaldo,3,2,3,2,2,2,2,2,3,3,2,3,3,2,2,2,2,2,2,3,2,2,3,1,3,2,2,1,2,0,2,3,3,3,2,2.2941176470588234
Rosencrantz,1,2,2,1,2,1,2,2,2,2,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,1,1,1,1,2,0,2,2,2,1,1.5294117647058822
Sailor,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,3,2,0,2,1,2,2.0294117647058822
Second Clown,2,2,1,1,2,1,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,0,2,2,1.7941176470588236
Servant,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,3,2,1,2,0,2,2.0294117647058822
Voltimand,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,0,1.6176470588235294
