Name,Purpose,Created,Archived,Last Message,Abandoned Date,Dead?,Total Channel Members,Messages from Users,Users Posting Messages,Change in Users Posting Messages
parker,,"Jun 12, 2016",,"Jun 12, 16","Jun 12, 16",y,0,0,0,
cottonnero,bugs,"Apr 17, 2017","May 23, 17","Apr 22, 17","Apr 22, 17",y,0,259,6,
connaught,,"Sep 13, 2016","May 23, 17","May 19, 17","May 19, 17",y,0,88,7,
iiif-fall,Not spamming #digitaltoolsmss,"Aug 2, 2017","Oct 31, 17","Oct 13, 17","Oct 13, 17",y,0,356,5,
stow,This is for good old Stow.,"Jun 8, 2016",,"Nov 6, 17","Nov 6, 17",y,10,526,9,
dhnwebsite,,"Mar 9, 2018","Aug 22, 18","Mar 9, 18","Mar 9, 18",y,0,1,1,
ncs2018,,"Jun 20, 2016","Jul 18, 17","Jul 17, 18","Jul 17, 18",y,0,91,4,
conferences,Chat while you're at a conference with other lab members!,"Apr 19, 2018",,"Jul 20, 18",,,12,90,9,
ncs18,:chaucer-3:,"Jun 4, 2018","Aug 22, 18","Aug 8, 18","Aug 8, 18",y,0,806,14,
dhnetwork,For the DH Network launch event and other related topics.,"Jun 20, 2016",,"Aug 27, 18",,,22,2996,20,
daily-dickson,This is where we post our daily goals and progress to the almighty Geekbot.,"Jun 20, 2016","Oct 10, 18","Aug 30, 18","Aug 30, 18",y,5,3232,17,
publications,,"Aug 3, 2016",,"Sep 4, 18",,,9,696,7,
wahaladeyoh,edition planning,"May 3, 2018",,"Sep 28, 18","Sep 28, 18",y,0,1047,6,
canterburytales,,"Jun 12, 2016",,"Oct 17, 18","Oct 17, 18",y,14,2264,10,
middle_english,,"Oct 12, 2018",,"Nov 7, 18",,,10,40,3,
asana,,"Sep 14, 2016",,"Nov 9, 18","Nov 9, 18",y,12,43,6,
humanresources,"Announcements and communications related to contracts, timesheets, and expense reports.","Aug 19, 2016",,"Dec 3, 18",,,28,453,15,
digitaltoolsmss,This channel is for discussion related to the Digital Tools for Manuscript Study project.,"Jun 6, 2016",,"Dec 19, 18",,,19,4662,16,
poetry_channel,to share and possibly discuss poems we like,"Sep 28, 2018",,"Dec 27, 18",,,14,185,10,
book_channel,for talking about the books we’re thinking about.,"Dec 10, 2018",,"Jan 5, 19",,,7,249,4,
nonazis,,"Sep 25, 2017",,"Jan 7, 19",,,13,287,8,
new-phds,For the prospective students to ask questions about Toronto and grad school!,"Mar 23, 2018",,"Jan 8, 19",,,19,434,15,
transnationalmss,"to talk about ""global"" ms studies","Apr 13, 2018",,"Jan 10, 19",,,13,71,9,
curriculum-mapping,"coordinating on E&amp;D curriculum mapping, EXP, etc at UTM","Jul 24, 2018",,"Jan 13, 19",,,3,373,3,
medievalmemes,I'm so sorry,"Nov 14, 2018",,"Jan 13, 19",,,10,60,9,
canyoureadthis,Helping each other read someone else's bad handwriting,"Mar 21, 2017",,"Jan 15, 19",,,15,1376,14,
tolkien,"Tolkien, LOTR, teaching","Sep 27, 2017",,"Jan 15, 19",,,13,2888,9,
accountability,,"Jul 17, 2018",,"Jan 16, 19",,,18,1714,15,
daily_cat,"Cute animals, daily.","Nov 10, 2016",,"Jan 17, 19",,,33,14453,30,
general,"This channel is for stuff that might be relevant to absolutely anyone on this domain, which currently includes a few less-that-interested-in-the-business-stuff 'guests' (when I upgrade account, we can actually have guests) - AG","May 13, 2016",,"Jan 17, 19",,,53,11717,48,
good_things,,"Dec 13, 2018",,"Jan 17, 19",,,20,147,14,
grumbling,For generally being upset and load about it,"Dec 14, 2016",,"Jan 17, 19",,,25,7568,21,
pedagogy,Talk about your teaching!,"Apr 5, 2018",,"Jan 17, 19",,,20,928,16,
random,"A place for non-work-related flimflam, faffing, hodge-podge or jibber-jabber you'd prefer to keep out of more focused work-related channels.","May 13, 2016",,"Jan 17, 19",,,48,14458,36,
research,"for shoptalk, chatting about our research, asking questions, seeking resources, etc.","Oct 1, 2018",,"Jan 17, 19",,,25,248,16,
slackmetachannel,:cat-hug:,"Oct 1, 2018",,"Jan 17, 19",,,10,1574,8,
