Date,"Total Users","Full Members",Guests,"Daily Active Users","Daily Users Posting Messages","Weekly Active Users","Weekly Users Posting Messages","Messages in Public Channels","Messages in Private Channels","Messages in Shared Channels","Messages in DMs","% of Messages Posted in Public Channels","% of Messages Posted in Private Channels","% of Messages Posted in DMs","% of Messages Read in Public Channels","% of Messages Read in Private Channels","% of Messages Read in DMs","Files Uploaded","Messages from Users",Name,"Public Workspace Channels","Messages Posted","Messages from Apps"
2016-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-27,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2016-05-28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,5,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
2016-06-02,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2016-06-03,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2016-06-04,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2016-06-05,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2016-06-06,17,17,0,13,9,13,9,70,19,0,200,0.2422,0.0657,0.692,0.3932,0.0508,0.5559,3,289,0,4,0,0
2016-06-07,22,22,0,18,14,20,14,147,183,0,166,0.2964,0.369,0.3347,0.4605,0.2822,0.2573,1,496,0,5,0,0
2016-06-08,24,24,0,18,13,22,16,115,91,0,206,0.2791,0.2209,0.5,0.4695,0.1552,0.3752,4,412,0,6,0,5
2016-06-09,25,25,0,18,12,23,17,25,206,0,260,0.0509,0.4196,0.5295,0.1646,0.3818,0.4535,1,491,0,6,0,0
2016-06-10,25,25,0,17,7,23,17,14,110,0,14,0.1014,0.7971,0.1014,0.3374,0.5775,0.0851,9,138,0,6,0,1
2016-06-11,25,25,0,9,4,23,17,1,10,0,115,0.0079,0.0794,0.9127,0.0372,0.0744,0.8884,0,126,0,6,0,0
2016-06-12,26,26,0,16,10,24,18,57,37,0,93,0.3048,0.1979,0.4973,0.5553,0.167,0.2777,4,187,0,8,0,1
2016-06-13,26,26,0,19,10,23,18,207,68,0,88,0.5702,0.1873,0.2424,0.7354,0.1226,0.142,2,363,0,8,0,0
2016-06-14,27,27,0,16,10,22,17,103,62,0,200,0.2822,0.1699,0.5479,0.4347,0.1896,0.3757,1,365,0,9,0,0
2016-06-15,27,27,0,15,10,22,16,80,7,0,26,0.708,0.0619,0.2301,0.8209,0.093,0.086,4,113,0,9,3421,0
2016-06-16,27,27,0,16,9,22,15,79,188,0,95,0.2182,0.5193,0.2624,0.3255,0.4599,0.2145,4,362,0,9,3808,0
2016-06-17,27,27,0,11,6,21,16,22,5,0,116,0.1538,0.035,0.8112,0.2656,0.0563,0.6781,1,143,0,9,3962,0
2016-06-18,28,28,0,8,4,22,17,1,5,0,1,0.1429,0.7143,0.1429,0.5,0.3846,0.1154,1,7,0,9,3975,0
2016-06-19,28,28,0,9,5,22,16,4,10,0,2,0.25,0.625,0.125,0.678,0.2881,0.0339,0,16,0,9,3991,0
2016-06-20,28,28,0,17,12,22,18,64,258,0,203,0.1219,0.4914,0.3867,0.2715,0.4399,0.2886,3,525,0,12,4637,8
2016-06-21,28,28,0,18,11,21,18,20,27,0,165,0.0943,0.1274,0.7783,0.2992,0.1352,0.5656,0,212,0,12,4914,9
2016-06-22,28,28,0,16,12,22,19,89,32,0,325,0.1996,0.0717,0.7287,0.4035,0.0811,0.5154,1,446,0,12,5425,8
2016-06-23,28,28,0,16,11,22,18,19,40,0,88,0.1293,0.2721,0.5986,0.3601,0.2477,0.3922,0,147,0,12,5634,6
