Name,Purpose,Created,"Total Channel Members","Messages from Users","Users Posting Messages","Change in Users Posting Messages"
daily_cat,"Cute animals, daily.","Nov 10, 2016",33,14344,30,
random,"A place for non-work-related flimflam, faffing, hodge-podge or jibber-jabber you'd prefer to keep out of more focused work-related channels.","May 13, 2016",48,14294,36,
general,"This channel is for stuff that might be relevant to absolutely anyone on this domain, which currently includes a few less-that-interested-in-the-business-stuff 'guests' (when I upgrade account, we can actually have guests) - AG","May 13, 2016",53,11637,47,
grumbling,"For generally being upset and load about it","Dec 14, 2016",25,7399,21,
digitaltoolsmss,"This channel is for discussion related to the Digital Tools for Manuscript Study project.","Jun 6, 2016",19,4662,16,
dhnetwork,"For the DH Network launch event and other related topics.","Jun 20, 2016",22,2996,20,
tolkien,"Tolkien, LOTR, teaching","Sep 27, 2017",13,2869,9,
canterburytales,,"Jun 12, 2016",14,2264,10,
accountability,,"Jul 17, 2018",18,1583,15,
canyoureadthis,"Helping each other read someone else's bad handwriting","Mar 21, 2017",15,1353,13,
pedagogy,"Talk about your teaching!","Apr 5, 2018",19,823,15,
slackmetachannel,:cat-hug:,"Oct 1, 2018",10,770,8,
publications,,"Aug 3, 2016",9,696,7,
stow,"This is for good old Stow.","Jun 8, 2016",10,526,9,
humanresources,"Announcements and communications related to contracts, timesheets, and expense reports.","Aug 19, 2016",28,453,15,
new-phds,"For the prospective students to ask questions about Toronto and grad school!","Mar 23, 2018",19,417,15,
curriculum-mapping,"coordinating on E&amp;D curriculum mapping, EXP, etc at UTM","Jul 24, 2018",3,371,3,
nonazis,,"Sep 25, 2017",13,285,8,
book_channel,"for talking about the books we’re thinking about.","Dec 10, 2018",7,249,4,
research,"for shoptalk, chatting about our research, asking questions, seeking resources, etc.","Oct 1, 2018",25,248,16,
poetry_channel,"to share and possibly discuss poems we like","Sep 28, 2018",14,185,10,
good_things,,"Dec 13, 2018",20,114,14,
conferences,"Chat while you're at a conference with other lab members!","Apr 19, 2018",12,90,9,
transnationalmss,"to talk about ""global"" ms studies","Apr 13, 2018",13,69,9,
medievalmemes,"I'm so sorry","Nov 14, 2018",10,57,9,
asana,,"Sep 14, 2016",12,43,6,
middle_english,,"Oct 12, 2018",10,40,3,
parker,,"Jun 12, 2016",0,0,0,
