,,,phrase,
I,14,,I believe,6
me,1,,I am afraid,2
our,1,,I question,1
we,4,,I a little question,1
,,,I apprehend,1
"I, we, our, me",20,,I have just mentioned,1
"no first
person pronoun",62,,I have often suspected,1
,,,I require,1
,,,if I may use the expression,1
,,,something whispers me in the ear,1
,,,we have […] done great violence,1
,,,we have not the profoundest veneration,1
,,,why should we not confess,1
,,,without any assistance of ours,1
,,,,
,2.74390243902439,,,
,,,,
,,,,
,,,,
,,,,
