phrase,bk.ch,context,information,I,clarity,illuminating,line no,character
to say the truth,0.01,"From the name of my patron, indeed, I hope my reader will be
convinced, at his very entrance on this work, that he will find in the
whole course of it nothing prejudicial to the cause of religion and
virtue, nothing inconsistent with the strictest rules of decency, nor
which can offend even the chastest eye in the perusal. On the
contrary, I declare, that to recommend goodness and innocence hath
been my sincere endeavour in this history. This honest purpose you
have been pleased to think I have attained: and to say the truth, it
is likeliest to be attained in books of this kind; for an example is a
kind of picture, in which virtue becomes, as it were, an object of
sight, and strikes us with an idea of that loveliness, which Plato
asserts there is in her naked charms.",,,blunt,writing,0,this book
to acknowledge the truth,1.04,"Perhaps the reader may account for this behaviour from her condescension to Mr Allworthy, when we have informed him that the good man had ended his narrative with owning a resolution to take care of the child, and to breed him up as his own; for, to acknowledge the truth, she was always ready to oblige her brother, and very seldom, if ever, contradicted his sentiments. She would, indeed, sometimes make a few observations, as that men were headstrong, and must have their own way, and would wish she had been blest with an independent fortune; but these were always vented in a low voice, and at the most amounted only to what is called muttering.",exterior,,obfuscatory,character,42,Bridget
to say the truth,1.06,"Whenever Mrs Deborah had occasion to exert any extraordinary
condescension to Mrs Bridget, and by that means had a little soured
her natural disposition, it was usual with her to walk forth among
these people, in order to refine her temper, by venting, and, as it
were, purging off all ill humours; on which account she was by no
means a welcome visitant: to say the truth, she was universally
dreaded and hated by them all.",interior,,blunt,character,58,Deborah
to say the truth,1.10,"Neither Mr Allworthy's house, nor his heart, were shut against any
part of mankind, but they were both more particularly open to men of
merit. To say the truth, this was the only house in the kingdom where
you was sure to gain a dinner by deserving it.",exterior,,blunt,character,113,Allworthy
to say the truth,1.10,"If this part of his character pleased Mr Allworthy, it delighted Miss
Bridget. She engaged him in many religious controversies; on which
occasions she constantly expressed great satisfaction in the doctor's
knowledge, and not much less in the compliments which he frequently
bestowed on her own. To say the truth, she had read much English
divinity, and had puzzled more than one of the neighbouring curates.
Indeed, her conversation was so pure, her looks so sage, and her whole
deportment so grave and solemn, that she seemed to deserve the name of
saint equally with her namesake, or with any other female in the Roman
kalendar.",exterior,,blunt,character,119,Bridget
to say the truth,1.11,"And to say the truth, there is, in all points, great difference
between the reasonable passion which women at this age conceive
towards men, and the idle and childish liking of a girl to a boy,
which is often fixed on the outside only, and on things of little
value and no duration; as on cherry-cheeks, small, lily-white hands,
sloe-black eyes, flowing locks, downy chins, dapper shapes; nay,
sometimes on charms more worthless than these, and less the party's
own; such are the outward ornaments of the person, for which men are
beholden to the taylor, the laceman, the periwig-maker, the hatter,
and the milliner, and not to nature. Such a passion girls may well be
ashamed, as they generally are, to own either to themselves or others.",,,verbose,the world,133,Bridget
to speak more truly,1.11,"The captain likewise very wisely preferred the more solid enjoyments he expected with this lady, to the fleeting charms of person. He was one of those wise men who regard beauty in the other sex as a very worthless and superficial qualification; or, to speak more truly, who rather chuse to possess every convenience of life with an ugly woman, than a handsome one without any of those conveniences. And having a very good appetite, and but little nicety, he fancied he should play his part very well at the matrimonial banquet, without the sauce of beauty.",interior,,verbose,character,137,Captain
to confess the truth,2.03,"This woman was not very amiable in her person. Whether she sat to my friend Hogarth, or no, I will not determine; but she exactly resembled the young woman who is pouring out her mistress's tea in the third picture of the Harlot's Progress. She was, besides, a profest follower of that noble sect founded by Xantippe of old; by means of which she became more formidable in the school than her husband; for, to confess the truth, he was never master there, or anywhere else, in her presence.",exterior,,blunt,character,207,Mrs Partridge
to say the truth,2.03,"Mr Partridge had profited too much by experience to interpose in a
matter of this nature. He therefore had recourse to his usual receipt
of patience, for, though he was not a great adept in Latin, he
remembered, and well understood, the advice contained in these words
     --_Leve fit quod bene fertur onus_
in English:
     A burden becomes lightest when it is well borne--
which he had always in his mouth; and of which, to say the truth, he
had often occasion to experience the truth.",exterior,,blunt,character,227,Mr Partridge
,,"The captain chid her for the conclusion of her speech, as an improper assurance in judging of her master's actions: for if his honour, or his understanding, would have suffered the captain to make an alliance with Mrs. Wilkins, his pride would by no means have admitted it. And to say the truth, there is no conduct less politic, than to enter into any confederacy with your friend's servants against their master: for by these means you afterwards become the slave of these very servants; by whom you are constantly liable to be betrayed. And this consideration, perhaps it was, which prevented Captain Blifil from being more explicit with Mrs. Wilkins, or from encouraging the abuse which she had bestowed on Allworthy.",,,verbose,the world,262,Captain
