42,"Perhaps the reader may account for this behaviour from her condescension to Mr. Allworthy, when we have informed him that the good man had ended his narrative with owning a resolution to take care of the child, and to breed him up as his own; for, to acknowledge the truth, she was always ready to oblige her brother, and very seldom, if ever, contradicted his sentiments. She would, indeed, sometimes make a few observations, as that men were headstrong, and must have their own way, and would wish she had been blest with an independent fortune; but these were always vented in a low voice, and at the most amounted only to what is called muttering.
"
58,"Whenever Mrs. Deborah had occasion to exert any extraordinary condescension to Miss Bridget, and by that means had a little soured her natural disposition, it was usual with her to walk forth among these people, in order to refine her temper, by venting, and, as it were, purging off all ill humours; on which account she was by no means a welcome visitant: to say the truth, she was universally dreaded and hated by them all.
"
113,"Neither Mr. Allworthy's house, nor his heart, were shut against any part of mankind, but they were both more particularly open to men of merit. To say the truth, this was the only house in the kingdom where you was sure to gain a dinner by deserving it.
"
119,"If this part of his character pleased Mr. Allworthy, it delighted Miss Bridget. She engaged him in many religious controversies; on which occasions she constantly expressed great satisfaction in the doctor's knowledge, and not much less in the compliments which he frequently bestowed on her own. To say the truth, she had read much English divinity, and had puzzled more than one of the neighbouring curates. Indeed, her conversation was so pure, her looks so sage, and her whole deportment so grave and solemn, that she seemed to deserve the name of saint equally with her namesake, or with any other female in the Roman kalendar.
"
133,"And to say the truth, there is, in all points, great difference between the reasonable passion which women at this age conceive towards men, and the idle and childish liking of a girl to a boy, which is often fixed on the outside only, and on things of little value and no duration; as on cherry-cheeks, small, lily-white hands, sloe-black eyes, flowing locks, downy chins, dapper shapes; nay, sometimes on charms more worthless than these, and less the party's own; such are the outward ornaments of the person, for which men are beholden to the taylor, the laceman, the periwig-maker, the hatter, and the milliner, and not to nature. Such a passion girls may well be ashamed, as they generally are, to own either to themselves or others.
"
137,"The captain likewise very wisely preferred the more solid enjoyments he expected with this lady, to the fleeting charms of person. He was one of those wise men who regard beauty in the other sex as a very worthless and superficial qualification; or, to speak more truly, who rather chuse to possess every convenience of life with an ugly woman, than a handsome one without any of those conveniences. And having a very good appetite, and but little nicety, he fancied he should play his part very well at the matrimonial banquet, without the sauce of beauty.
"
207,"This woman was not very amiable in her person. Whether she sat to my friend Hogarth, or no, I will not determine; but she exactly resembled the young woman who is pouring out her mistress's tea in the third picture of the Harlot's Progress. She was, besides, a profest follower of that noble sect founded by Xantippe of old; by means of which she became more formidable in the school than her husband; for, to confess the truth, he was never master there, or anywhere else, in her presence.
"
227,"which he had always in his mouth; and of which, to say the truth, he had often occasion to experience the truth.
"
262,"The captain chid her for the conclusion of her speech, as an improper assurance in judging of her master's actions: for if his honour, or his understanding, would have suffered the captain to make an alliance with Mrs. Wilkins, his pride would by no means have admitted it. And to say the truth, there is no conduct less politic, than to enter into any confederacy with your friend's servants against their master: for by these means you afterwards become the slave of these very servants; by whom you are constantly liable to be betrayed. And this consideration, perhaps it was, which prevented Captain Blifil from being more explicit with Mrs. Wilkins, or from encouraging the abuse which she had bestowed on Allworthy.
"
273,"“To confess the truth,” said he, “there is one degree of generosity (of charity I would have called it), which seems to have some show of merit, and that is, where, from a principle of benevolence and Christian love, we bestow on another what we really want ourselves; where, in order to lessen the distresses of another, we condescend to share some part of them, by giving what even our own necessities cannot well spare. This is, I think, meritorious; but to relieve our brethren only with our superfluities; to be charitable (I must use the word) rather at the expense of our coffers than ourselves; to save several families from misery rather than hang up an extraordinary picture in our houses or gratify any other idle ridiculous vanity—this seems to be only being human creatures. Nay, I will venture to go farther, it is being in some degree epicures: for what could the greatest epicure wish rather than to eat with many mouths instead of one? which I think may be predicated of any one who knows that the bread of many is owing to his own largesses.
"
